"#","slug","filename","title","category","subject","status","notes"
"14","why-gifted-and-talented-programs-are-controversial","why-gifted-and-talented-programs-are-controversial.jpg","Why Gifted and Talented Programs Are Controversial","Education","An empty classroom with one desk pulled apart from the neat rows, late afternoon light across the floor.","",""
"15","why-gossip-exists-in-every-human-culture","why-gossip-exists-in-every-human-culture.jpg","Why Gossip Exists in Every Human Culture","People and Society","Three women leaning close together over tea in a sunlit courtyard, mid-conversation, hands animated, a fourth chair empty.","",""
"16","why-grade-inflation-happens-at-universities","why-grade-inflation-happens-at-universities.jpg","Why Grade Inflation Happens at Universities","Education","A stack of marked essay papers on a tutor's desk beside a red pen and cold coffee, window light from the left.","",""
"17","why-grandparents-play-such-different-roles-across-cultures","why-grandparents-play-such-different-roles-across-cultures.jpg","Why Grandparents Play Such Different Roles Across Cultures","Family","An older woman and a small child cooking together at a kitchen counter in a modest home, flour on their hands, warm afternoon light.","",""
"18","why-gulf-humidity-feels-worse-than-the-temperature-suggests","why-gulf-humidity-feels-worse-than-the-temperature-suggests.jpg","Why Gulf Humidity Feels Worse Than the Thermometer Says","Dubai & UAE Places","A Gulf city skyline at dawn seen through heavy humid haze, condensation beading on a foreground glass balcony rail.","",""
"19","why-habit-stacking-actually-works","why-habit-stacking-actually-works.jpg","Why Habit Stacking Actually Works","Self Care","A simple morning kitchen counter with a kettle, a mug, running shoes and a notebook lined up in a deliberate row, soft daylight.","",""
"20","why-handwriting-practice-still-matters-in-a-digital-age","why-handwriting-practice-still-matters-in-a-digital-age.jpg","Why Handwriting Practice Still Matters in a Digital Age","Education","A child's hand forming letters with a pencil on ruled paper, viewed close and from above, graphite smudge on the page edge.","",""
"21","why-homework-amounts-vary-so-much-between-countries","why-homework-amounts-vary-so-much-between-countries.jpg","Why Homework Amounts Vary So Much Between Countries","Education","A schoolbag spilling books and papers onto a bedroom floor in the evening, a small desk lamp casting a pool of light.","",""
"22","why-in-law-relationships-are-culturally-scripted-so-differently","why-in-law-relationships-are-culturally-scripted-so-differently.jpg","Why In-Law Relationships Are Culturally Scripted So Differently","People and Society","A long family dinner table after a meal, mismatched chairs slightly askew, plates cleared, warm low lamplight.","",""
"23","why-is-dubai-rich","why-is-dubai-rich.jpg","Why Is Dubai So Rich?","Business and Economy","An aerial view of Dubai at golden hour, dense towers meeting desert on one side and the Gulf on the other, cranes on the skyline.","",""
"24","why-is-the-sky-blue","why-is-the-sky-blue.jpg","Why the Sky Is Blue — The Real Physics Explained Simply","Science","A vast clear blue desert sky above a low dune horizon, no clouds, a gradient from deep zenith blue to pale haze at the horizon.","",""
"25","why-jet-lag-hits-some-people-harder-than-others","why-jet-lag-hits-some-people-harder-than-others.jpg","Why Jet Lag Hits Some People Harder Than Others","Health","A traveller asleep awkwardly in an empty airport gate seat at 3am, harsh overhead light, dark windows behind.","",""
"26","why-lighthouse-design-changed-with-technology","why-lighthouse-design-changed-with-technology.jpg","Why Lighthouse Design Changed With Technology","Around the World","A stone lighthouse on a rocky headland at dusk, its beam cutting through sea mist, waves breaking below.","",""
"27","why-loneliness-affects-physical-health","why-loneliness-affects-physical-health.jpg","Why Loneliness Affects Physical Health","Self Care","A single figure seated by a large window in a dim apartment at evening, city lights out of focus beyond the glass.","",""
"28","why-loyalty-points-programs-are-worth-less-than-they-seem","why-loyalty-points-programs-are-worth-less-than-they-seem.jpg","Why Loyalty Points Programs Are Worth Less Than They Seem","Business and Economy","A worn leather wallet open on a wooden table spilling a fan of blank unmarked plastic cards.","",""
"29","why-loyalty-programs-are-designed-to-make-you-spend-more","why-loyalty-programs-are-designed-to-make-you-spend-more.jpg","Why Loyalty Programs Are Designed to Make You Spend More","Business and Economy","A supermarket aisle from a low angle, a shopper's hand reaching toward a shelf, shallow depth of field, packaging plain and unbranded.","",""
"30","why-metric-system-not-universal","why-metric-system-not-universal.jpg","Why Some Countries Don't Use the Metric System","Around the World","An old wooden workbench with a steel tape measure, brass callipers and a folding ruler laid side by side, warm workshop light.","",""
"31","why-middle-children-get-overlooked-in-psychology-research","why-middle-children-get-overlooked-in-psychology-research.jpg","Why Middle Children Get Overlooked in Psychology Research","Family","Three children walking a path away from camera, the middle one slightly out of step and half a pace behind, late daylight.","",""
"32","why-moon-sighting-still-matters-for-islamic-dates","why-moon-sighting-still-matters-for-islamic-dates.jpg","Why Moon Sighting Still Matters for Setting Islamic Dates","Islamic Knowledge & Culture","A thin crescent moon low in a deep indigo dusk sky above a minaret silhouette, a single star nearby.","",""
"33","why-movie-premieres-still-matter-in-the-streaming-era","why-movie-premieres-still-matter-in-the-streaming-era.jpg","Why Movie Premieres Still Matter in the Streaming Era","Art","A red carpet and velvet rope outside a cinema at night, empty just before the crowd arrives, lights flaring.","",""
"34","why-movie-sequels-rarely-match-the-original","why-movie-sequels-rarely-match-the-original.jpg","Why Movie Sequels Rarely Match the Original","Entertainment and Games","An empty cinema auditorium with the house lights half up, one seat folded down in the middle of an otherwise pristine row.","",""
"35","why-msg-got-a-bad-reputation-despite-being-safe","why-msg-got-a-bad-reputation-despite-being-safe.jpg","Why MSG Got a Bad Reputation Despite Being Safe","Nutrition","Close macro of white crystalline seasoning in a small ceramic dish beside a wooden spoon on a dark kitchen counter.","",""
"36","why-multigenerational-households-are-rising-again","why-multigenerational-households-are-rising-again.jpg","Why Multigenerational Households Are Rising Again","Family","Three generations sharing a living room in the evening, grandmother, parents and a toddler, lamplight and a cluttered comfortable interior.","",""
"37","why-multiple-time-zones-vs-single","why-multiple-time-zones-vs-single.jpg","Why Some Countries Have Multiple Time Zones While Others Don't, Despite Their Size","Around the World","A row of identical round wall clocks in an office corridor, each showing a different time, the dials plain and free of markings.","",""
"38","why-muscle-cramps-happen-during-exercise","why-muscle-cramps-happen-during-exercise.jpg","Why Muscle Cramps Happen During Exercise","Nutrition","A runner stopped at the roadside gripping a calf muscle, bent forward, early morning light and long shadows.","",""
"39","why-museums-rotate-their-permanent-collections","why-museums-rotate-their-permanent-collections.jpg","Why Museums Rotate Their Permanent Collections","Art","A museum storage vault with framed paintings racked on sliding mesh screens, a conservator sliding one out.","",""
"40","why-neom-the-line-project-changed-design","why-neom-the-line-project-changed-design.jpg","Why NEOM's The Line Project Changed Urban Design Debate","Saudi Vision 2030 & Megaprojects","A vast empty desert valley at sunrise with survey stakes and tyre tracks crossing the sand, mountains in the far distance.","",""
"41","why-password-managers-still-get-hacked","why-password-managers-still-get-hacked.jpg","Why Password Managers Still Get Hacked","Technology Explained","A darkened desk at night with a laptop closed and a small hardware security key resting on the aluminium lid.","",""
"42","why-protein-became-the-most-marketed-nutrient","why-protein-became-the-most-marketed-nutrient.jpg","Why Protein Became the Most Marketed Nutrient","Nutrition","A gym locker room bench with a plain shaker bottle, a folded towel and a scoop of pale powder spilled beside it.","",""
"43","why-ramadan-fasting-hours-differ-by-country","why-ramadan-fasting-hours-differ-by-country.jpg","Why Ramadan Fasting Hours Differ by Country","Islamic Knowledge & Culture","A table set for iftar with dates and water at dusk, the last orange light fading through a window behind.","",""
"44","why-red-light-therapy-claims-outpace-the-evidence","why-red-light-therapy-claims-outpace-the-evidence.jpg","Why Red Light Therapy Claims Outpace the Evidence","Self Care","A dim clinic room bathed entirely in deep red light from a panel, an empty treatment chair in the centre.","",""
"45","why-remakes-and-reboots-dominate-hollywood","why-remakes-and-reboots-dominate-hollywood.jpg","Why Remakes and Reboots Dominate Hollywood","Entertainment and Games","Stacked film reel canisters and a clapperboard in a dusty studio storeroom, a single window shaft of light.","",""
"46","why-remote-work-productivity-claims-are-contested","why-remote-work-productivity-claims-are-contested.jpg","Why Remote Work Productivity Claims Are Contested","Business and Economy","A home desk by a window with a laptop, a cold coffee and a kitchen chair, half-drawn curtains, ordinary mid-morning light.","",""
"47","why-riyadh-season-became-a-global-entertainment-draw","why-riyadh-season-became-a-global-entertainment-draw.jpg","Why Riyadh Season Became a Global Entertainment Draw","Saudi Vision 2030 & Megaprojects","A large outdoor entertainment park at night with a lit ferris wheel and crowds in silhouette, warm bulb strings overhead.","",""
"48","why-rumors-about-public-figures-spread-faster-than-facts","why-rumors-about-public-figures-spread-faster-than-facts.jpg","Why Rumors About Public Figures Spread Faster Than the Facts","People and Society","A crowd of hands holding up phones at a night event, the screens glowing plain and empty, faces out of focus behind.","",""
"49","why-saudi-arabia-hunts-desert-truffles-every-spring","why-saudi-arabia-hunts-desert-truffles-every-spring.jpg","Why Saudi Arabia Hunts Desert Truffles Yearly","Saudi Arabia","Hands brushing sand from a cluster of pale desert truffles, a shallow dug hollow in the desert floor, low morning sun.","",""
"50","why-saudi-arabia-lifted-its-decades-long-cinema-ban","why-saudi-arabia-lifted-its-decades-long-cinema-ban.jpg","Why Saudi Arabia Lifted Its Decades-Long Cinema Ban","Saudi Arabia","A modern cinema foyer with empty seats visible through open doors, warm ambient lighting, the walls plain and bare.","",""
"51","why-shrinkflation-happens-and-how-its-tracked","why-shrinkflation-happens-and-how-its-tracked.jpg","Why Shrinkflation Happens and How It's Actually Tracked","Business and Economy","Two identical plain cardboard packages of noticeably different size side by side on a plain kitchen counter.","",""
"52","why-ski-dubai-can-make-real-snow-in-the-desert","why-ski-dubai-can-make-real-snow-in-the-desert.jpg","Why Ski Dubai Can Make Real Snow in a Mall","Dubai & UAE Places","An indoor snow slope under artificial lighting with real snow and a chairlift, viewed from the base.","",""
"53","why-small-talk-norms-differ-between-cultures","why-small-talk-norms-differ-between-cultures.jpg","Why Small Talk Norms Differ Between Cultures","People and Society","Two strangers standing slightly apart in a lift lobby, both waiting, polite distance between them, cool daylight.","",""
"54","why-some-cities-have-sister-cities","why-some-cities-have-sister-cities.jpg","Why Some Cities Have Sister Cities","Around the World","Two distant city skylines photographed across water at dusk, layered in atmospheric haze.","",""
"55","why-some-countries-are-landlocked","why-some-countries-are-landlocked.jpg","Why Some Countries Have No Coastline at All","Around the World","A high mountain pass with a winding road descending into a broad inland valley, no water in sight.","",""
"56","why-some-countries-drive-on-the-left","why-some-countries-drive-on-the-left.jpg","Why Some Countries Drive on the Left","Around the World","A wet country road at dawn curving away, a single car's tail lights receding on the left-hand side.","",""
"57","why-some-countries-have-more-than-one-official-language","why-some-countries-have-more-than-one-official-language.jpg","Why Some Countries Have More Than One Official Language","Around the World","A public noticeboard in a transit hall with several blank paper sheets pinned in neat parallel columns.","",""
"58","why-some-countries-have-no-army","why-some-countries-have-no-army.jpg","Why Some Countries Have No Standing Army","Around the World","A quiet border crossing with a raised barrier and an empty guard post, mountains beyond, soft morning light.","",""
"59","why-some-countries-start-school-much-later-in-the-morning","why-some-countries-start-school-much-later-in-the-morning.jpg","Why Some Countries Start School Much Later","Education","A school gate at first light with mist on the playground, empty and waiting.","",""
"60","why-some-countries-use-commas-and-others-periods-in-numbers","why-some-countries-use-commas-and-others-periods-in-numbers.jpg","Why Some Countries Use Commas, Others Periods in Numbers","Around the World","An old mechanical adding machine on a desk with a curl of blank paper tape, warm side light.","",""
"61","why-some-countries-use-different-calendars","why-some-countries-use-different-calendars.jpg","Why Some Countries Use Different Calendars","Around the World","A wall of blank paper calendar pages pinned in a grid, edges curling, plain daylight.","",""
"62","why-some-countries-use-fahrenheit","why-some-countries-use-fahrenheit.jpg","Why Some Countries Still Use Fahrenheit","Around the World","A weathered outdoor mercury thermometer mounted on a painted wooden wall, the scale worn smooth and unreadable, afternoon sun.","",""
"63","why-some-countries-write-dates-day-first-and-others-month-first","why-some-countries-write-dates-day-first-and-others-month-first.jpg","Why Some Countries Write Dates Day-First, Others Month-First","Around the World","A desk diary open to a blank double page beside a fountain pen, morning window light.","",""
"64","why-some-flags-look-so-similar","why-some-flags-look-so-similar.jpg","Why Do So Many National Flags Look So Similar?","Around the World","Several plain unmarked coloured banners hanging limp on a row of flagpoles against an overcast sky.","",""
"65","why-some-metals-are-magnetic-and-others-arent","why-some-metals-are-magnetic-and-others-arent.jpg","Why Some Metals Are Magnetic and Others Aren't","Science","Iron filings arranged into field lines around a bar magnet on white paper, shot close and from above.","",""
"66","why-some-metals-rust-and-others-dont","why-some-metals-rust-and-others-dont.jpg","Why Some Metals Rust and Others Don't","Science","A weathered steel gate with deep orange rust beside an untouched stainless hinge, macro texture, flat daylight.","",""
"67","why-some-people-are-mosquito-magnets","why-some-people-are-mosquito-magnets.jpg","Why Some People Are Mosquito Magnets","Health","A mosquito resting on human forearm skin at dusk, extreme macro, soft green background bokeh.","",""
"68","why-some-people-are-supertasters-and-others-arent","why-some-people-are-supertasters-and-others-arent.jpg","Why Some People Are Supertasters and Others Aren't","Health","A close portrait detail of a tongue touching a small piece of bitter green vegetable on a fork, neutral light.","",""
"69","why-some-people-cant-sit-with-silence","why-some-people-cant-sit-with-silence.jpg","Why Some People Can't Sit With Silence","Self Care","An empty armchair in a bare room with a phone face-down on the arm, quiet afternoon light through a blind.","",""
"70","why-some-people-never-get-hangovers","why-some-people-never-get-hangovers.jpg","Why Some People Never Get Hangovers","Health","A kitchen counter the morning after, one empty glass and a half-full water jug, hard morning light through a window.","",""
"71","why-some-scents-trigger-strong-memories","why-some-scents-trigger-strong-memories.jpg","Why Some Scents Trigger Strong Memories","Science","A hand lifting the lid of an old wooden box of dried herbs and lavender, dust motes in a shaft of light.","",""
"72","why-some-scripts-are-written-right-to-left","why-some-scripts-are-written-right-to-left.jpg","Why Some Languages Are Written Right to Left","Around the World","A calligrapher's desk with a reed pen, ink pot and a sheet of blank cream paper, warm raking light, the page still unwritten.","",""
"73","why-sports-drinks-contain-more-sugar-than-people-realize","why-sports-drinks-contain-more-sugar-than-people-realize.jpg","Why Sports Drinks Contain More Sugar Than People Realize","Nutrition","A clear plain bottle of bright coloured liquid on a gym bench beside a small heap of white sugar crystals.","",""
"74","why-standardized-testing-remains-controversial","why-standardized-testing-remains-controversial.jpg","Why Standardized Testing Remains Controversial","Education","Rows of identical exam desks in a large hall, each with a blank answer sheet and a sharpened pencil, cold overhead light.","",""
"75","why-streaming-services-keep-raising-prices","why-streaming-services-keep-raising-prices.jpg","Why Streaming Services Keep Raising Prices Every Year","Entertainment and Games","A dim living room at night lit only by a large television screen glowing plain and empty, sofa in soft silhouette.","",""
"76","why-subscription-services-make-cancelling-harder-than-signing-up","why-subscription-services-make-cancelling-harder-than-signing-up.jpg","Why Cancelling Subscriptions Is Harder Than Signing Up","Business and Economy","A person's hands holding a phone at a kitchen table late at night, the screen glowing plain and empty, frustrated posture.","",""
"77","why-sugar-cravings-spike-at-night","why-sugar-cravings-spike-at-night.jpg","Why Sugar Cravings Spike at Night","Nutrition","An open fridge at night casting cold light into a dark kitchen, a figure standing in the doorway light.","",""
"78","why-sugar-substitutes-are-controversial","why-sugar-substitutes-are-controversial.jpg","Why Sugar Substitutes Are Controversial","Nutrition","Small plain paper sachets and a scattering of white powder beside an espresso cup on a café table.","",""
"79","why-surnames-didnt-exist-for-most-of-human-history","why-surnames-didnt-exist-for-most-of-human-history.jpg","Why Surnames Didn't Exist for Most of Human History","People and Society","A weathered stone churchyard wall with carved markers worn smooth and illegible, ivy and grey daylight.","",""
"80","why-textbook-prices-are-so-high","why-textbook-prices-are-so-high.jpg","Why Textbook Prices Are So High","Education","A tall stack of thick hardback books on a student desk beside an empty wallet, plain daylight, the spines blank.","",""
"81","why-the-2026-world-cup-expanded-to-48-teams","why-the-2026-world-cup-expanded-to-48-teams.jpg","Why the 2026 World Cup Expanded to 48 Teams","Dubai & UAE Places","An empty modern football stadium bowl at dusk, floodlights warming up, pristine green pitch, the hoardings plain and bare.","",""
"82","why-the-appendix-might-not-be-useless","why-the-appendix-might-not-be-useless.jpg","Why the Appendix Might Not Be Useless","Science","An anatomical teaching model of the human abdomen on a lecture bench, soft window light, the model unlabelled.","",""
"83","why-the-library-of-alexandria-was-actually-destroyed","why-the-library-of-alexandria-was-actually-destroyed.jpg","Why the Library of Alexandria Was Actually Destroyed","Stories","Sunlight falling through tall ancient stone columns onto a dusty floor scattered with fragments of blank papyrus.","",""
"84","why-the-ocean-is-salty","why-the-ocean-is-salty.jpg","Why the Ocean Is Salty","Science","A wave breaking over dark coastal rocks with salt crystals crusted in the crevices, overcast sea light.","",""
"85","why-the-same-folk-tales-appear-in-unconnected-cultures","why-the-same-folk-tales-appear-in-unconnected-cultures.jpg","Why the Same Folk Tales Appear in Unconnected Cultures","Stories","An outdoor night fire with people seated around it in silhouette, sparks rising into the dark.","",""
"86","why-the-sky-changes-color-at-sunset","why-the-sky-changes-color-at-sunset.jpg","Why the Sky Changes Color at Sunset","Science","A wide desert horizon at sunset with the sky banded from deep orange through rose to violet, a single dune ridge below.","",""
"87","why-time-zones-exist","why-time-zones-exist.jpg","Why Time Zones Exist and How They Were Standardized","Around the World","A long railway platform at dawn with an empty track curving away, a station clock on its bracket with a plain blank dial.","",""
"88","why-time-zones-exist-and-who-decides-them","why-time-zones-exist-and-who-decides-them.jpg","Why Time Zones Exist and Who Decides Them","People and Society","A brass transit telescope in a historic observatory dome, shaft of daylight through the shutter slot.","",""
"89","why-tipping-culture-varies-so-much-by-country","why-tipping-culture-varies-so-much-by-country.jpg","Why Tipping Culture Varies So Much by Country","People and Society","A small metal tray on a restaurant table holding a folded blank receipt and a few loose coins, warm evening light.","",""
"90","why-twins-develop-different-personalities-despite-identical-genes","why-twins-develop-different-personalities-despite-identical-genes.jpg","Why Twins Develop Different Personalities","Family","Two identical twin children sitting on a doorstep, one leaning forward and one drawn back, different postures, natural light.","",""
"91","why-two-factor-authentication-isnt-foolproof","why-two-factor-authentication-isnt-foolproof.jpg","Why Two-Factor Authentication Isn't Foolproof","Technology Explained","A phone lying face-up on a desk beside a laptop keyboard at night, the screen glowing plain and empty, cool light.","",""
"92","why-university-rankings-are-controversial","why-university-rankings-are-controversial.jpg","Why University Rankings Are Controversial","Education","A grand old university quadrangle in early morning light, empty of people, long shadows across the lawn.","",""
"93","why-we-forget-dreams-so-quickly","why-we-forget-dreams-so-quickly.jpg","Why We Forget Dreams So Quickly","Health","A rumpled empty bed in early dawn light, sheets thrown back, curtains barely glowing.","",""
"94","why-world-cup-2026-stadium-cooling-technology-actually-works","why-world-cup-2026-stadium-cooling-technology-actually-works.jpg","Why World Cup 2026 Stadium Cooling Technology Actually Works","World Cup 2026 & Arab Football","Large industrial air-handling ducts and vents beneath a stadium's spectator tier, pipes and grilles in raking light.","",""
"95","why-world-maps-distort-country-size","why-world-maps-distort-country-size.jpg","Why World Maps Distort the True Size of Countries","Around the World","An old paper world map curling at the edges on a wooden table, lit warmly from the side, the printing soft and illegible.","",""
"96","why-yawning-is-contagious","why-yawning-is-contagious.jpg","Why Yawning Is Contagious","Health","A lecture hall from the back with several students mid-yawn in the rows, soft daylight from high windows.","",""
"97","why-you-cannot-fully-repay-sleep-debt","why-you-cannot-fully-repay-sleep-debt.jpg","Why You Cannot Fully Repay Sleep Debt","Health","An unmade bed in a bright late-morning bedroom, an alarm clock face-down on the side table.","",""
"98","why-your-attention-span-feels-shorter-than-it-used-to","why-your-attention-span-feels-shorter-than-it-used-to.jpg","Why Your Attention Span Feels Shorter Than It Used To","Self Care","A person on a sofa holding a phone with an open unread book beside them, evening lamplight.","",""
"99","why-your-phone-battery-degrades-over-time","why-your-phone-battery-degrades-over-time.jpg","Why Your Phone Battery Degrades Over Time","Technology Explained","A dismantled smartphone on an electronics repair mat with its swollen battery lifted out by tweezers, task lamp light.","",""
"100","woodblock-printing-history","woodblock-printing-history.jpg","The History of Woodblock Printing","Art","A carved wooden printing block inked and resting beside a freshly pressed blank sheet in a traditional print workshop.","",""
"101","world-cup-2026-final-referee","world-cup-2026-final-referee.jpg","How FIFA Picks the World Cup Final Referee","World Cup 2026 & Arab Football","A football referee's whistle, cards and watch laid out on a wooden bench in an empty changing room, everything plain and unbranded.","",""
"102","world-cup-2026-group-stage-pressure-arab-teams","world-cup-2026-group-stage-pressure-arab-teams.jpg","World Cup 2026 Group-Stage Pressure: Which Arab Team Handles It Best?","World Cup 2026 & Arab Football","An empty floodlit football pitch at night seen from the tunnel mouth, dark stands rising beyond.","",""
"103","world-cup-2026-tickets-guide","world-cup-2026-tickets-guide.jpg","World Cup 2026 Tickets Guide: Phases, Prices and Scam Safety","World Cup 2026 & Arab Football","A stadium turnstile entrance at dusk with empty barriers and a queue rail, warm floodlight spill.","",""
"104","yanbu-saudi-arabia-guide","yanbu-saudi-arabia-guide.jpg","Yanbu, Saudi Arabia: Port, Industry, Diving, and Living","Saudi Arabia","A Red Sea industrial port at golden hour with cranes and jetties, calm clear water in the foreground.","",""
"105","yas-island-abu-dhabi","yas-island-abu-dhabi.jpg","Yas Island: Abu Dhabi’s Entertainment Capital","Dubai & UAE Places","A wide aerial of a modern leisure island at dusk with waterfront promenades and lit venues, Gulf water around it.","",""
"106","zamalek-sc-explained","zamalek-sc-explained.jpg","Zamalek SC: History, Trophies and the Cairo Derby Explained","Egypt","A packed football terrace at night in silhouette, hands raised, floodlight glare above, the banners plain and unmarked.","",""
